checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
No checking account,24,Delay in past payments,Car (used),4679,< 100 DM,4-7 years,3,Male: single,None,3,Car or other,35,None,Own,2,Unskilled resident,1,Yes,Yes,0,1169.75,194.95833333333334,26-35,Very High,Medium (1-2yr),0,0,1,0,1
0-200 DM,24,Existing credits paid till now,Radio/TV,3092,100-500 DM,< 1 year,3,Male: married/widowed,None,2,Car or other,22,None,Rent,1,Skilled employee,1,Yes,Yes,1,773.0,128.83333333333334,18-25,High,Medium (1-2yr),1,1,0,0,0
< 0 DM,6,Existing credits paid till now,Education,448,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Savings/life insurance,23,None,Own,1,Skilled employee,1,None,Yes,1,89.6,74.66666666666667,18-25,Low,Short (1yr),1,1,0,0,1
< 0 DM,9,Existing credits paid till now,Car (new),654,< 100 DM,1-4 years,4,Male: single,None,3,Car or other,28,None,Own,1,Unskilled resident,1,None,Yes,1,130.8,72.66666666666667,26-35,Low,Short (1yr),1,1,0,0,1
No checking account,6,Existing credits paid till now,Retraining,1238,Unknown/none,Unemployed,4,Male: single,None,4,Savings/life insurance,36,None,Own,1,Highly skilled/self-employed,2,Yes,Yes,0,247.6,206.33333333333334,36-45,Low,Short (1yr),0,1,0,0,1
0-200 DM,18,Critical account,Radio/TV,1245,< 100 DM,1-4 years,4,Male: married/widowed,None,2,Car or other,33,None,Own,1,Skilled employee,1,None,Yes,1,249.0,69.16666666666667,26-35,Low,Medium (1-2yr),1,0,0,0,1
< 0 DM,18,No credits/all paid,Furniture/equipment,3114,< 100 DM,< 1 year,1,Female: divorced/married,None,4,Savings/life insurance,26,None,Rent,1,Skilled employee,1,None,Yes,1,1557.0,173.0,26-35,High,Medium (1-2yr),1,1,0,0,0
No checking account,39,Existing credits paid till now,Car (used),2569,500-1000 DM,1-4 years,4,Male: single,None,4,Car or other,24,None,Own,1,Skilled employee,1,None,Yes,0,513.8,65.87179487179488,18-25,High,Long (2-4yr),0,1,0,0,1
>= 200 DM,24,Existing credits paid till now,Radio/TV,5152,< 100 DM,4-7 years,4,Male: single,None,2,Car or other,25,Bank,Own,1,Skilled employee,1,None,Yes,0,1030.4,214.66666666666666,18-25,Very High,Medium (1-2yr),1,1,1,0,1
0-200 DM,12,Existing credits paid till now,Business,1037,100-500 DM,4-7 years,3,Male: single,None,4,Real estate,39,None,Own,1,Unskilled resident,1,None,Yes,0,259.25,86.41666666666667,36-45,Low,Short (1yr),1,1,1,1,1
< 0 DM,15,Critical account,Furniture/equipment,1478,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,44,None,Own,2,Skilled employee,2,Yes,Yes,0,295.6,98.53333333333333,36-45,Medium,Medium (1-2yr),1,0,1,0,1
0-200 DM,12,Critical account,Radio/TV,3573,< 100 DM,1-4 years,1,Female: divorced/married,None,1,Real estate,23,None,Own,1,Unskilled resident,1,None,Yes,0,1786.5,297.75,18-25,High,Short (1yr),1,0,0,1,1
0-200 DM,24,Existing credits paid till now,Car (new),1201,< 100 DM,< 1 year,4,Male: single,None,1,Savings/life insurance,26,None,Own,1,Skilled employee,1,None,Yes,0,240.2,50.041666666666664,26-35,Low,Medium (1-2yr),1,1,0,0,1
< 0 DM,30,Existing credits paid till now,Furniture/equipment,3622,>= 1000 DM,>= 7 years,4,Female: divorced/married,None,4,Savings/life insurance,57,None,Rent,2,Skilled employee,1,Yes,Yes,0,724.4,120.73333333333333,55+,High,Long (2-4yr),1,1,1,0,0
No checking account,15,Delay in past payments,Furniture/equipment,960,>= 1000 DM,4-7 years,3,Female: divorced/married,None,2,Savings/life insurance,30,None,Own,2,Skilled employee,1,None,Yes,0,240.0,64.0,26-35,Low,Medium (1-2yr),0,0,1,0,1
No checking account,12,Critical account,Car (new),1163,500-1000 DM,1-4 years,4,Male: single,None,4,Real estate,44,None,Own,1,Skilled employee,1,Yes,Yes,0,232.6,96.91666666666667,36-45,Low,Short (1yr),0,0,0,1,1
0-200 DM,6,Delay in past payments,Car (new),1209,< 100 DM,Unemployed,4,Male: single,None,4,Savings/life insurance,47,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,241.8,201.5,46-55,Low,Short (1yr),1,0,0,0,1
No checking account,12,Existing credits paid till now,Radio/TV,3077,< 100 DM,1-4 years,2,Male: single,None,4,Car or other,52,None,Own,1,Skilled employee,1,Yes,Yes,0,1025.6666666666667,256.4166666666667,46-55,High,Short (1yr),0,1,0,0,1
No checking account,24,Existing credits paid till now,Car (new),3757,< 100 DM,>= 7 years,4,Female: divorced/married,Co-applicant,4,Unknown/none,62,None,For free,1,Skilled employee,1,Yes,Yes,0,751.4,156.54166666666666,55+,High,Medium (1-2yr),0,1,1,0,0
No checking account,10,Existing credits paid till now,Car (new),1418,100-500 DM,1-4 years,3,Male: single,None,2,Real estate,35,None,Rent,1,Unskilled resident,1,None,No,0,354.5,141.8,26-35,Medium,Short (1yr),0,1,0,1,0
No checking account,6,Existing credits paid till now,Car (new),3518,< 100 DM,1-4 years,2,Male: single,Guarantor,3,Savings/life insurance,26,None,Rent,1,Skilled employee,1,None,Yes,0,1172.6666666666667,586.3333333333334,26-35,High,Short (1yr),0,1,0,0,0
No checking account,12,Critical account,Radio/TV,1934,< 100 DM,>= 7 years,2,Male: single,None,2,Unknown/none,26,None,Own,2,Skilled employee,1,None,Yes,0,644.6666666666666,161.16666666666666,26-35,Medium,Short (1yr),0,0,1,0,1
0-200 DM,27,No credits/all paid,Business,8318,< 100 DM,>= 7 years,2,Female: divorced/married,None,4,Unknown/none,42,None,For free,2,Highly skilled/self-employed,1,Yes,Yes,1,2772.6666666666665,308.0740740740741,36-45,Very High,Long (2-4yr),1,1,1,0,0
No checking account,6,Critical account,Radio/TV,1237,100-500 DM,1-4 years,1,Female: divorced/married,None,1,Savings/life insurance,27,None,Own,2,Skilled employee,1,None,Yes,0,618.5,206.16666666666666,26-35,Low,Short (1yr),0,0,0,0,1
0-200 DM,6,Existing credits paid till now,Radio/TV,368,Unknown/none,>= 7 years,4,Male: single,None,4,Savings/life insurance,38,None,Own,1,Skilled employee,1,None,Yes,0,73.6,61.333333333333336,36-45,Low,Short (1yr),1,1,1,0,1
< 0 DM,12,Critical account,Car (new),2122,< 100 DM,1-4 years,3,Male: single,None,2,Real estate,39,None,Rent,2,Unskilled resident,2,None,No,0,530.5,176.83333333333334,36-45,Medium,Short (1yr),1,0,0,1,0
< 0 DM,24,Existing credits paid till now,Furniture/equipment,2996,Unknown/none,1-4 years,2,Male: married/widowed,None,4,Car or other,20,None,Own,1,Skilled employee,1,None,Yes,1,998.6666666666666,124.83333333333333,18-25,High,Medium (1-2yr),1,1,0,0,1
0-200 DM,36,Existing credits paid till now,Furniture/equipment,9034,100-500 DM,< 1 year,4,Male: single,Co-applicant,1,Unknown/none,29,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,1,1806.8,250.94444444444446,26-35,Very High,Long (2-4yr),1,1,0,0,0
No checking account,24,Critical account,Furniture/equipment,1585,< 100 DM,4-7 years,4,Male: single,None,3,Savings/life insurance,40,None,Own,2,Skilled employee,1,None,Yes,0,317.0,66.04166666666667,36-45,Medium,Medium (1-2yr),0,0,1,0,1
0-200 DM,18,Existing credits paid till now,Radio/TV,1301,< 100 DM,>= 7 years,4,Male: married/widowed,Guarantor,2,Real estate,32,None,Own,1,Unskilled resident,1,None,Yes,0,260.2,72.27777777777777,26-35,Low,Medium (1-2yr),1,1,1,1,1
>= 200 DM,6,Critical account,Car (new),1323,100-500 DM,>= 7 years,2,Male: divorced/separated,None,4,Car or other,28,None,Own,2,Skilled employee,2,Yes,Yes,0,441.0,220.5,26-35,Low,Short (1yr),1,0,1,0,1
< 0 DM,24,Existing credits paid till now,Car (new),3123,< 100 DM,< 1 year,4,Female: divorced/married,None,1,Savings/life insurance,27,None,Own,1,Skilled employee,1,None,Yes,1,624.6,130.125,26-35,High,Medium (1-2yr),1,1,0,0,1
< 0 DM,36,Existing credits paid till now,Car (used),5493,< 100 DM,>= 7 years,2,Male: single,None,4,Unknown/none,42,None,For free,1,Skilled employee,2,None,Yes,0,1831.0,152.58333333333334,36-45,Very High,Long (2-4yr),1,1,1,0,0
>= 200 DM,9,Existing credits paid till now,Radio/TV,1126,100-500 DM,>= 7 years,2,Male: divorced/separated,None,4,Real estate,49,None,Own,1,Skilled employee,1,None,Yes,0,375.3333333333333,125.11111111111111,46-55,Low,Short (1yr),1,1,1,1,1
0-200 DM,24,Critical account,Radio/TV,1216,100-500 DM,< 1 year,4,Male: single,None,4,Unknown/none,38,Bank,Own,2,Skilled employee,2,None,Yes,1,243.2,50.666666666666664,36-45,Low,Medium (1-2yr),1,0,0,0,1
< 0 DM,24,Existing credits paid till now,Car (new),1207,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Savings/life insurance,24,None,Rent,1,Skilled employee,1,None,Yes,1,241.4,50.291666666666664,18-25,Low,Medium (1-2yr),1,1,0,0,0
No checking account,10,Existing credits paid till now,Car (new),1309,Unknown/none,1-4 years,4,Male: single,Guarantor,4,Savings/life insurance,27,None,Own,1,Unskilled resident,1,None,Yes,1,261.8,130.9,26-35,Low,Short (1yr),0,1,0,0,1
>= 200 DM,15,Critical account,Car (used),2360,500-1000 DM,1-4 years,2,Male: single,None,2,Car or other,36,None,Own,1,Skilled employee,1,Yes,Yes,0,786.6666666666666,157.33333333333334,36-45,High,Medium (1-2yr),1,0,0,0,1
0-200 DM,15,All credits paid at this bank,Car (new),6850,100-500 DM,Unemployed,1,Male: single,None,2,Savings/life insurance,34,None,Own,1,Highly skilled/self-employed,2,Yes,Yes,1,3425.0,456.6666666666667,26-35,Very High,Medium (1-2yr),1,1,0,0,1
No checking account,24,Existing credits paid till now,Radio/TV,1413,< 100 DM,1-4 years,4,Male: married/widowed,None,2,Savings/life insurance,28,None,Own,1,Skilled employee,1,None,Yes,0,282.6,58.875,26-35,Medium,Medium (1-2yr),0,1,0,0,1
No checking account,39,Existing credits paid till now,Car (used),8588,100-500 DM,>= 7 years,4,Male: single,None,2,Car or other,45,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,1717.6,220.2051282051282,36-45,Very High,Long (2-4yr),0,1,1,0,1
< 0 DM,12,Existing credits paid till now,Car (new),759,< 100 DM,4-7 years,4,Male: single,None,2,Real estate,26,None,Own,1,Skilled employee,1,None,Yes,1,151.8,63.25,26-35,Low,Short (1yr),1,1,1,1,1
No checking account,36,Existing credits paid till now,Car (used),4686,< 100 DM,1-4 years,2,Male: single,None,2,Unknown/none,32,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,1562.0,130.16666666666666,26-35,Very High,Long (2-4yr),0,1,0,0,0
>= 200 DM,15,Existing credits paid till now,Business,2687,< 100 DM,4-7 years,2,Male: single,None,4,Savings/life insurance,26,None,Rent,1,Skilled employee,1,Yes,Yes,0,895.6666666666666,179.13333333333333,26-35,High,Medium (1-2yr),1,1,1,0,0
0-200 DM,12,Delay in past payments,Radio/TV,585,< 100 DM,1-4 years,4,Male: married/widowed,Co-applicant,4,Real estate,20,None,Rent,2,Skilled employee,1,None,Yes,0,117.0,48.75,18-25,Low,Short (1yr),1,0,0,1,0
No checking account,24,Existing credits paid till now,Car (new),2255,Unknown/none,< 1 year,4,Male: single,None,1,Savings/life insurance,54,None,Own,1,Skilled employee,1,None,Yes,0,451.0,93.95833333333333,46-55,Medium,Medium (1-2yr),0,1,0,0,1
< 0 DM,6,Critical account,Car (new),609,< 100 DM,4-7 years,4,Female: divorced/married,None,3,Savings/life insurance,37,None,Own,2,Skilled employee,1,None,No,0,121.8,101.5,36-45,Low,Short (1yr),1,0,1,0,1
< 0 DM,6,Critical account,Car (new),1361,< 100 DM,< 1 year,2,Male: single,None,4,Real estate,40,None,Own,1,Unskilled resident,2,None,No,0,453.6666666666667,226.83333333333334,36-45,Low,Short (1yr),1,0,0,1,1
No checking account,36,Critical account,Furniture/equipment,7127,< 100 DM,< 1 year,2,Female: divorced/married,None,4,Savings/life insurance,23,None,Rent,2,Skilled employee,1,Yes,Yes,1,2375.6666666666665,197.97222222222223,18-25,Very High,Long (2-4yr),0,0,0,0,0
< 0 DM,6,Existing credits paid till now,Car (new),1203,100-500 DM,>= 7 years,3,Male: single,None,2,Savings/life insurance,43,None,Own,1,Skilled employee,1,Yes,Yes,0,300.75,200.5,36-45,Low,Short (1yr),1,1,1,0,1
No checking account,6,Critical account,Radio/TV,700,Unknown/none,>= 7 years,4,Male: single,None,4,Unknown/none,36,None,For free,2,Skilled employee,1,None,Yes,0,140.0,116.66666666666667,36-45,Low,Short (1yr),0,0,1,0,0
No checking account,24,Critical account,Repairs,5507,< 100 DM,>= 7 years,3,Male: single,None,4,Unknown/none,44,None,For free,2,Skilled employee,1,None,Yes,0,1376.75,229.45833333333334,36-45,Very High,Medium (1-2yr),0,0,1,0,0
< 0 DM,18,Existing credits paid till now,Radio/TV,3190,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,1,1063.3333333333333,177.22222222222223,18-25,High,Medium (1-2yr),1,1,0,1,1
< 0 DM,48,No credits/all paid,Furniture/equipment,7119,< 100 DM,1-4 years,3,Male: single,None,4,Unknown/none,53,None,For free,2,Skilled employee,2,None,Yes,1,1779.75,148.3125,46-55,Very High,Long (2-4yr),1,1,0,0,0
No checking account,24,Existing credits paid till now,Car (used),3488,100-500 DM,4-7 years,3,Female: divorced/married,None,4,Car or other,23,None,Own,1,Skilled employee,1,None,Yes,0,872.0,145.33333333333334,18-25,High,Medium (1-2yr),0,1,1,0,1
0-200 DM,18,Existing credits paid till now,Radio/TV,1113,< 100 DM,1-4 years,4,Female: divorced/married,Guarantor,4,Real estate,26,None,Own,1,Unskilled resident,2,None,Yes,0,222.6,61.833333333333336,26-35,Low,Medium (1-2yr),1,1,0,1,1
0-200 DM,26,Existing credits paid till now,Car (used),7966,< 100 DM,< 1 year,2,Male: single,None,3,Car or other,30,None,Own,2,Skilled employee,1,None,Yes,0,2655.3333333333335,306.38461538461536,26-35,Very High,Long (2-4yr),1,1,0,0,1
No checking account,15,Critical account,Education,1532,100-500 DM,1-4 years,4,Female: divorced/married,None,3,Car or other,31,None,Own,1,Skilled employee,1,None,Yes,0,306.4,102.13333333333334,26-35,Medium,Medium (1-2yr),0,0,0,0,1
No checking account,4,Critical account,Radio/TV,1503,< 100 DM,4-7 years,2,Male: single,None,1,Real estate,42,None,Own,2,Unskilled resident,2,None,Yes,0,501.0,375.75,36-45,Medium,Short (1yr),0,0,1,1,1
< 0 DM,36,Existing credits paid till now,Radio/TV,2302,< 100 DM,1-4 years,4,Male: divorced/separated,None,4,Car or other,31,None,Rent,1,Skilled employee,1,None,Yes,1,460.4,63.94444444444444,26-35,Medium,Long (2-4yr),1,1,0,0,0
< 0 DM,6,Existing credits paid till now,Car (new),662,< 100 DM,< 1 year,3,Male: single,None,4,Real estate,41,None,Own,1,Unskilled resident,2,Yes,Yes,0,165.5,110.33333333333333,36-45,Low,Short (1yr),1,1,0,1,1
0-200 DM,36,Existing credits paid till now,Education,2273,< 100 DM,4-7 years,3,Male: single,None,1,Car or other,32,None,Own,2,Skilled employee,2,None,Yes,0,568.25,63.138888888888886,26-35,Medium,Long (2-4yr),1,1,1,0,1
0-200 DM,15,Existing credits paid till now,Car (new),2631,100-500 DM,1-4 years,2,Female: divorced/married,None,4,Car or other,28,None,Rent,2,Skilled employee,1,Yes,Yes,1,877.0,175.4,26-35,High,Medium (1-2yr),1,1,0,0,0
No checking account,12,Delay in past payments,Car (used),1503,< 100 DM,1-4 years,4,Male: married/widowed,None,4,Real estate,41,None,Rent,1,Skilled employee,1,None,Yes,0,300.6,125.25,36-45,Medium,Short (1yr),0,0,0,1,0
No checking account,24,Existing credits paid till now,Radio/TV,1311,100-500 DM,4-7 years,4,Male: married/widowed,None,3,Savings/life insurance,26,None,Own,1,Skilled employee,1,Yes,Yes,0,262.2,54.625,26-35,Low,Medium (1-2yr),0,1,1,0,1
No checking account,24,Existing credits paid till now,Radio/TV,3105,Unknown/none,< 1 year,4,Male: single,None,2,Car or other,25,None,Own,2,Skilled employee,1,None,Yes,0,621.0,129.375,18-25,High,Medium (1-2yr),0,1,0,0,1
>= 200 DM,21,Critical account,Education,2319,< 100 DM,< 1 year,2,Male: divorced/separated,None,1,Car or other,33,None,Rent,1,Skilled employee,1,None,Yes,1,773.0,110.42857142857143,26-35,Medium,Medium (1-2yr),1,0,0,0,0
< 0 DM,6,Existing credits paid till now,Car (new),1374,Unknown/none,Unemployed,4,Female: divorced/married,None,3,Savings/life insurance,75,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,274.8,229.0,55+,Medium,Short (1yr),1,1,0,0,1
0-200 DM,18,Critical account,Furniture/equipment,3612,< 100 DM,>= 7 years,3,Female: divorced/married,None,4,Savings/life insurance,37,None,Own,1,Skilled employee,1,Yes,Yes,0,903.0,200.66666666666666,36-45,High,Medium (1-2yr),1,0,1,0,1
< 0 DM,48,Existing credits paid till now,Car (new),7763,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,42,Bank,For free,1,Highly skilled/self-employed,1,None,Yes,1,1552.6,161.72916666666666,36-45,Very High,Long (2-4yr),1,1,1,0,0
>= 200 DM,18,Existing credits paid till now,Furniture/equipment,3049,< 100 DM,< 1 year,1,Female: divorced/married,None,1,Savings/life insurance,45,Stores,Own,1,Unskilled resident,1,None,Yes,0,1524.5,169.38888888888889,36-45,High,Medium (1-2yr),1,1,0,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,1534,< 100 DM,< 1 year,1,Male: married/widowed,None,1,Real estate,23,None,Rent,1,Skilled employee,1,None,Yes,1,767.0,127.83333333333333,18-25,Medium,Short (1yr),1,1,0,1,0
No checking account,24,Delay in past payments,Car (new),2032,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,60,None,For free,2,Skilled employee,1,Yes,Yes,0,406.4,84.66666666666667,55+,Medium,Medium (1-2yr),0,0,1,0,0
< 0 DM,30,Existing credits paid till now,Furniture/equipment,6350,Unknown/none,>= 7 years,4,Male: single,None,4,Savings/life insurance,31,None,Own,1,Skilled employee,1,None,Yes,1,1270.0,211.66666666666666,26-35,Very High,Long (2-4yr),1,1,1,0,1
>= 200 DM,18,Existing credits paid till now,Furniture/equipment,2864,< 100 DM,1-4 years,2,Male: single,None,1,Real estate,34,None,Own,1,Unskilled resident,2,None,Yes,1,954.6666666666666,159.11111111111111,26-35,High,Medium (1-2yr),1,1,0,1,1
No checking account,12,Critical account,Car (new),1255,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,61,None,Own,2,Unskilled resident,1,None,Yes,0,251.0,104.58333333333333,55+,Low,Short (1yr),0,0,1,1,1
< 0 DM,24,Delay in past payments,Car (new),1333,< 100 DM,Unemployed,4,Male: single,None,2,Real estate,43,None,For free,2,Skilled employee,2,None,Yes,1,266.6,55.541666666666664,36-45,Low,Medium (1-2yr),1,0,0,1,0
No checking account,24,Critical account,Car (new),2022,< 100 DM,1-4 years,4,Female: divorced/married,None,4,Car or other,37,None,Own,1,Skilled employee,1,Yes,Yes,0,404.4,84.25,36-45,Medium,Medium (1-2yr),0,0,0,0,1
No checking account,24,Existing credits paid till now,Radio/TV,1552,< 100 DM,4-7 years,3,Male: single,None,1,Car or other,32,Bank,Own,1,Skilled employee,2,None,Yes,0,388.0,64.66666666666667,26-35,Medium,Medium (1-2yr),0,1,1,0,1
< 0 DM,12,All credits paid at this bank,Radio/TV,626,< 100 DM,1-4 years,4,Female: divorced/married,None,4,Real estate,24,Bank,Own,1,Unskilled resident,1,None,Yes,1,125.2,52.166666666666664,18-25,Low,Short (1yr),1,1,0,1,1
No checking account,48,Critical account,Car (used),8858,Unknown/none,4-7 years,2,Male: single,None,1,Unknown/none,35,None,For free,2,Skilled employee,1,Yes,Yes,0,2952.6666666666665,184.54166666666666,26-35,Very High,Long (2-4yr),0,0,1,0,0
No checking account,12,Critical account,Repairs,996,Unknown/none,4-7 years,4,Female: divorced/married,None,4,Real estate,23,None,Own,2,Skilled employee,1,None,Yes,0,199.2,83.0,18-25,Low,Short (1yr),0,0,1,1,1
No checking account,6,All credits paid at this bank,Radio/TV,1750,500-1000 DM,>= 7 years,2,Male: single,None,4,Savings/life insurance,45,Bank,Own,1,Unskilled resident,2,None,Yes,0,583.3333333333334,291.6666666666667,36-45,Medium,Short (1yr),0,1,1,0,1
< 0 DM,48,Existing credits paid till now,Radio/TV,6999,< 100 DM,4-7 years,1,Male: married/widowed,Guarantor,1,Real estate,34,None,Own,2,Skilled employee,1,Yes,Yes,1,3499.5,145.8125,26-35,Very High,Long (2-4yr),1,1,1,1,1
0-200 DM,12,Critical account,Car (new),1995,100-500 DM,< 1 year,4,Male: single,None,1,Car or other,27,None,Own,1,Skilled employee,1,None,Yes,0,399.0,166.25,26-35,Medium,Short (1yr),1,0,0,0,1
0-200 DM,9,Existing credits paid till now,Education,1199,< 100 DM,4-7 years,4,Female: divorced/married,None,4,Savings/life insurance,67,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,239.8,133.22222222222223,55+,Low,Short (1yr),1,1,1,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,1331,< 100 DM,< 1 year,2,Male: single,None,1,Car or other,22,Stores,Own,1,Skilled employee,1,None,Yes,1,443.6666666666667,110.91666666666667,18-25,Low,Short (1yr),1,1,0,0,1
0-200 DM,18,No credits/all paid,Car (new),2278,100-500 DM,< 1 year,3,Female: divorced/married,None,3,Car or other,28,None,Own,2,Skilled employee,1,None,Yes,1,569.5,126.55555555555556,26-35,Medium,Medium (1-2yr),1,1,0,0,1
No checking account,21,No credits/all paid,Car (new),5003,Unknown/none,1-4 years,1,Female: divorced/married,None,4,Savings/life insurance,29,Bank,Own,2,Skilled employee,1,Yes,Yes,1,2501.5,238.23809523809524,26-35,Very High,Medium (1-2yr),0,1,0,0,1
< 0 DM,24,All credits paid at this bank,Furniture/equipment,3552,< 100 DM,4-7 years,3,Male: single,None,4,Car or other,27,Bank,Own,1,Skilled employee,1,None,Yes,1,888.0,148.0,26-35,High,Medium (1-2yr),1,1,1,0,1
0-200 DM,18,Critical account,Furniture/equipment,1928,< 100 DM,< 1 year,2,Male: single,None,2,Real estate,31,None,Own,2,Unskilled resident,1,None,Yes,1,642.6666666666666,107.11111111111111,26-35,Medium,Medium (1-2yr),1,0,0,1,1
< 0 DM,24,Existing credits paid till now,Car (used),2964,Unknown/none,>= 7 years,4,Male: single,None,4,Unknown/none,49,Bank,For free,1,Skilled employee,2,Yes,Yes,0,592.8,123.5,46-55,High,Medium (1-2yr),1,1,1,0,0
< 0 DM,24,All credits paid at this bank,Radio/TV,1546,< 100 DM,4-7 years,4,Male: single,Guarantor,4,Car or other,24,Bank,Rent,1,Unskilled resident,1,None,Yes,1,309.2,64.41666666666667,18-25,Medium,Medium (1-2yr),1,1,1,0,0
>= 200 DM,6,Delay in past payments,Radio/TV,683,< 100 DM,< 1 year,2,Female: divorced/married,None,1,Savings/life insurance,29,Bank,Own,1,Skilled employee,1,None,Yes,0,227.66666666666666,113.83333333333333,26-35,Low,Short (1yr),1,0,0,0,1
0-200 DM,36,Existing credits paid till now,Car (new),12389,Unknown/none,1-4 years,1,Male: single,None,4,Unknown/none,37,None,For free,1,Skilled employee,1,Yes,Yes,1,6194.5,344.1388888888889,36-45,Very High,Long (2-4yr),1,1,0,0,0
0-200 DM,24,Delay in past payments,Business,4712,Unknown/none,1-4 years,4,Male: single,None,2,Savings/life insurance,37,Bank,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,942.4,196.33333333333334,36-45,Very High,Medium (1-2yr),1,0,0,0,1
0-200 DM,24,Delay in past payments,Radio/TV,1553,100-500 DM,4-7 years,3,Female: divorced/married,None,2,Savings/life insurance,23,None,Rent,2,Skilled employee,1,Yes,Yes,0,388.25,64.70833333333333,18-25,Medium,Medium (1-2yr),1,0,1,0,0
< 0 DM,12,Existing credits paid till now,Car (new),1372,< 100 DM,4-7 years,2,Male: divorced/separated,None,3,Car or other,36,None,Own,1,Skilled employee,1,None,Yes,1,457.3333333333333,114.33333333333333,36-45,Medium,Short (1yr),1,1,1,0,1
No checking account,24,Critical account,Radio/TV,2578,>= 1000 DM,>= 7 years,2,Male: single,None,2,Car or other,34,None,Own,1,Skilled employee,1,None,Yes,0,859.3333333333334,107.41666666666667,26-35,High,Medium (1-2yr),0,0,1,0,1
0-200 DM,48,Existing credits paid till now,Radio/TV,3979,Unknown/none,4-7 years,4,Male: single,None,1,Car or other,41,None,Own,2,Skilled employee,2,Yes,Yes,0,795.8,82.89583333333333,36-45,Very High,Long (2-4yr),1,1,1,0,1
< 0 DM,48,Existing credits paid till now,Radio/TV,6758,< 100 DM,1-4 years,3,Female: divorced/married,None,2,Car or other,31,None,Own,1,Skilled employee,1,Yes,Yes,1,1689.5,140.79166666666666,26-35,Very High,Long (2-4yr),1,1,0,0,1
< 0 DM,24,Existing credits paid till now,Furniture/equipment,3234,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Real estate,23,None,Rent,1,Unskilled resident,1,Yes,Yes,1,646.8,134.75,18-25,High,Medium (1-2yr),1,1,0,1,0
No checking account,30,Critical account,Radio/TV,5954,< 100 DM,4-7 years,3,Male: single,Co-applicant,2,Car or other,38,None,Own,1,Skilled employee,1,None,Yes,0,1488.5,198.46666666666667,36-45,Very High,Long (2-4yr),0,0,1,0,1
No checking account,24,Existing credits paid till now,Car (used),5433,Unknown/none,Unemployed,2,Female: divorced/married,None,4,Savings/life insurance,26,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,0,1811.0,226.375,26-35,Very High,Medium (1-2yr),0,1,0,0,0
< 0 DM,15,Existing credits paid till now,Business,806,< 100 DM,1-4 years,4,Female: divorced/married,None,4,Savings/life insurance,22,None,Own,1,Unskilled resident,1,None,Yes,0,161.2,53.733333333333334,18-25,Low,Medium (1-2yr),1,1,0,0,1
0-200 DM,9,Existing credits paid till now,Radio/TV,1082,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,27,None,Own,2,Unskilled resident,1,None,Yes,0,216.4,120.22222222222223,26-35,Low,Short (1yr),1,1,1,0,1
No checking account,15,Critical account,Furniture/equipment,2788,< 100 DM,4-7 years,2,Female: divorced/married,Co-applicant,3,Car or other,24,Bank,Own,2,Skilled employee,1,None,Yes,0,929.3333333333334,185.86666666666667,18-25,High,Medium (1-2yr),0,0,1,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,2930,< 100 DM,4-7 years,2,Female: divorced/married,None,1,Real estate,27,None,Own,1,Skilled employee,1,None,Yes,0,976.6666666666666,244.16666666666666,26-35,High,Short (1yr),1,1,1,1,1
No checking account,24,Critical account,Education,1927,Unknown/none,1-4 years,3,Female: divorced/married,None,2,Car or other,33,None,Own,2,Skilled employee,1,Yes,Yes,0,481.75,80.29166666666667,26-35,Medium,Medium (1-2yr),0,0,0,0,1
0-200 DM,36,Critical account,Car (new),2820,< 100 DM,< 1 year,4,Male: divorced/separated,None,4,Car or other,27,None,Own,2,Skilled employee,1,None,Yes,1,564.0,78.33333333333333,26-35,High,Long (2-4yr),1,0,0,0,1
No checking account,24,Existing credits paid till now,Retraining,937,< 100 DM,< 1 year,4,Male: married/widowed,None,3,Car or other,27,None,Own,2,Unskilled resident,1,None,Yes,0,187.4,39.041666666666664,26-35,Low,Medium (1-2yr),0,1,0,0,1
